company,product_name,download_amount,slogan,update_time,download_rankings_amount_1,download_rankings_amount_2,download_rankings_amount_3,download_rankings_amount_4,download_rankings_amount_5,download_rankings_amount_6,download_rankings_amount_7,download_rankings_amount_8,download_rankings_amount_9,download_rankings_amount_10,url
北京世纪鑫网科技有限公司,尖货全球购,11万下载量,畅购全球与众不同,APP更新：2017.12.21,"百度手机助手,10分,7万下载","豌豆荚,10分,1.5万下载","OPPO软件商店,暂无,1万下载","应用宝,9.0分,7583下载","魅族应用商店,暂无,4060下载","360手机助手,7.8分,3830下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/11503424/products/13330/
浙江聚势网络科技有限公司,聚饰云,8万下载量,APP更新：2018.01.23,数据更新：2018.01.28,"360手机助手,7.8分,7万下载","华为应用市场,10分,5736下载","百度手机助手,10分,4017下载","魅族应用商店,10分,716下载","小米应用商店,9.0分,暂无",,,,,,http://www.jobui.com/company/12009042/products/68653/
中国移动通信集团山东有限公司,小移云店,20.4万下载量,免费开店,APP更新：2018.01.23,"豌豆荚,暂无,6万下载","华为应用市场,7.0分,4.3万下载","百度手机助手,暂无,4万下载","应用宝,10分,3.8万下载","魅族应用商店,8.0分,2.2万下载",,,,,,http://www.jobui.com/company/831902/products/76139/
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
上海有量市场营销策划有限公司,有量,42.8万下载量,"有钱赚,易下单",APP更新：2018.01.27,"应用宝,6.6分,15万下载","华为应用市场,7.0分,11.2万下载","百度手机助手,9.7分,6万下载","OPPO软件商店,8.0分,4万下载","魅族应用商店,6.0分,2.6万下载","豌豆荚,暂无,2.1万下载","360手机助手,7.8分,2万下载","小米应用商店,4.0分,暂无",,,http://www.jobui.com/company/12042766/products/39518/
极之索信息技术（上海）有限公司,丁丁优惠,304.8万下载量,APP更新：2015.11.11,数据更新：2018.01.28,"360手机助手,2.9分,176万下载","百度手机助手,8.7分,113万下载","豌豆荚,暂无,15.8万下载",,,,,,,,http://www.jobui.com/company/508508/products/31007/
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
华硕电脑（上海）有限公司,My ASUS,21万下载量,一对一解决问题,APP更新：2017.12.21,"应用宝,8.4分,17万下载","豌豆荚,10分,4万下载","魅族应用商店,暂无,310下载",,,,,,,,http://www.jobui.com/company/11708005/products/52208/
,,,,,,,,,,,,,,,
美囤妈妈（上海）电子商务有限公司,美囤妈妈,22.9万下载量,母婴限时特卖,APP更新：2017.12.21,"应用宝,9.8分,7.3万下载","百度手机助手,9.7分,5万下载","华为应用市场,3.0分,4.1万下载","豌豆荚,暂无,2.8万下载","360手机助手,8.9分,2万下载","魅族应用商店,10分,1.7万下载","小米应用商店,6.0分,暂无",,,,http://www.jobui.com/company/12229805/products/31320/
,,,,,,,,,,,,,,,
宁波指动网络科技有限公司,境淘土特产,53.2万下载量,买特产 上境淘,APP更新：2018.01.19,"应用宝,10分,53万下载","百度手机助手,暂无,722下载","豌豆荚,暂无,658下载","360手机助手,7.6分,319下载",,,,,,,http://www.jobui.com/company/12948764/products/47596/
,,,,,,,,,,,,,,,
淘宝天下传媒有限公司,蜜儿,10.7万下载量,手机蜜儿：和闺蜜一起扫货的时尚导购平台。,APP更新：2016.12.01,"豌豆荚,5.1分,8.9万下载","百度手机助手,暂无,8827下载","360手机助手,7.2分,4925下载","应用宝,10分,2578下载","魅族应用商店,7.0分,1018下载","OPPO软件商店,暂无,600下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/8153993/products/31088/
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
郴州七啸网络科技有限公司,抢抢乐,17.4万下载量,APP更新：2015.10.11,数据更新：2018.01.28,"豌豆荚,暂无,7.9万下载","应用宝,3.2分,5.4万下载","百度手机助手,9.0分,4万下载","魅族应用商店,4.0分,1204下载",,,,,,,http://www.jobui.com/company/11062462/products/31055/
,,,,,,,,,,,,,,,
大连大商天狗电子商务有限公司,天狗网,365.8万下载量,一网在手，实惠全有。,APP更新：2018.01.19,"华为应用市场,6.0分,110.6万下载","应用宝,9.6分,99万下载","百度手机助手,7.2分,78万下载","豌豆荚,5.0分,37.5万下载","360手机助手,6.7分,27万下载","魅族应用商店,8.6分,13.7万下载","苹果应用市场,6.0分,暂无","小米应用商店,4.0分,暂无",,,http://www.jobui.com/company/12197384/products/13283/
,,,,,,,,,,,,,,,
路客生活(北京)科技有限公司,微购,27.2万下载量,APP更新：2017.12.21,数据更新：2018.01.22,"360手机助手,6.0分,20万下载","豌豆荚,暂无,7.2万下载","魅族应用商店,暂无,371下载","百度手机助手,暂无,86下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/10164110/products/30656/
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
宜家（中国）投资有限公司,IKEA,42.7万下载量,APP更新：2017.12.21,数据更新：2018.01.28,"应用宝,7.6分,32万下载","魅族应用商店,6.8分,7.3万下载","豌豆荚,6.7分,3.4万下载","小米应用商店,5.0分,暂无",,,,,,,http://www.jobui.com/company/11730986/products/39724/
,,,,,,,,,,,,,,,
西安云道网络科技有限公司,性趣,16.6万下载量,APP更新：2015.05.26,数据更新：2018.01.28,"豌豆荚,暂无,8.7万下载","应用宝,10分,7.9万下载",,,,,,,,,http://www.jobui.com/company/11765516/products/30362/
西双版纳鸿巨网络科技有限公司,啪啦情趣商城,37.2万下载量,丰富你的情趣生活,APP更新：2017.10.26,"应用宝,10分,29万下载","魅族应用商店,10分,7.4万下载","豌豆荚,暂无,7620下载",,,,,,,,http://www.jobui.com/company/13604517/products/75256/
山东阿帕网络技术有限公司,智慧物流,18.5万下载量,快托网—智慧物流 无限可能,APP更新：2017.11.03,"华为应用市场,6.0分,17.3万下载","360手机助手,9.2分,1万下载","豌豆荚,暂无,1380下载","百度手机助手,暂无,400下载","应用宝,暂无,暂无",,,,,,http://www.jobui.com/company/13003592/products/31287/
,,,,,,,,,,,,,,,
深圳艾曼纽电子商务有限公司,蜜色,351.7万下载量,美女语聊 萌软酥麻骚 等你勾搭 还有免费礼包,APP更新：2016.07.29,"百度手机助手,9.9分,351万下载","魅族应用商店,2.0分,7279下载",,,,,,,,,http://www.jobui.com/company/12529459/products/39455/
,,,,,,,,,,,,,,,
